series,target_event,first_release,first_growth,maturity_date,mature_growth
PAYEMS,2009-11-01,2009-12-04,-0.008396850422620616,2010-05-31,0.049357961901286274
PAYEMS,2009-12-01,2010-01-08,-0.06490903417990523,2010-06-30,-0.08407737155717854
PAYEMS,2010-01-01,2010-02-05,-0.015439604159261933,2010-07-31,0.010802885924476868
PAYEMS,2010-02-01,2010-03-05,-0.027789785888643337,2010-08-31,0.030087601435013767
PAYEMS,2010-03-01,2010-04-02,0.12493350073761178,2010-09-30,0.16031449732007985
PAYEMS,2010-04-01,2010-05-07,0.22304956330909675,2010-10-31,0.24075916110621876
PAYEMS,2010-05-01,2010-06-04,0.33063714152117285,2010-11-30,0.3313445483449584
PAYEMS,2010-06-01,2010-07-02,-0.09576159925881456,2010-12-31,-0.13409295799231558
PAYEMS,2010-07-01,2010-08-06,-0.10053144372577094,2011-01-31,-0.05061893256126382
PAYEMS,2010-08-01,2010-09-03,-0.04143074220301912,2011-02-28,-0.04541868017504669
PAYEMS,2010-09-01,2010-10-08,-0.07293750347354688,2011-03-31,-0.0223319999234306
PAYEMS,2010-10-01,2010-11-05,0.11580954843992686,2011-04-30,0.13160985356108768
PAYEMS,2010-11-01,2010-12-03,0.02988059277733157,2011-05-31,0.07150463739282742
PAYEMS,2010-12-01,2011-01-07,0.07883025499957341,2011-06-30,0.11675783296531961
PAYEMS,2011-01-01,2011-02-04,0.027639792263300933,2011-07-31,0.05218966456137508
PAYEMS,2011-02-01,2011-03-04,0.14721783994424698,2011-08-31,0.18015191291151922
PAYEMS,2011-03-01,2011-04-01,0.16535256006644516,2011-09-30,0.1484769903873584
PAYEMS,2011-04-01,2011-05-06,0.18639334380630146,2011-10-31,0.16581914234219397
PAYEMS,2011-05-01,2011-06-03,0.041216340572347576,2011-11-30,0.04045786139972307
PAYEMS,2011-06-01,2011-07-08,0.013739618976060797,2011-12-31,0.015262864716802937
PAYEMS,2011-07-01,2011-08-05,0.08922341905783782,2012-01-31,0.09686486584232767
PAYEMS,2011-08-01,2011-09-02,0.0,2012-02-29,0.06466361831858336
PAYEMS,2011-09-01,2011-10-07,0.0784567671116676,2012-03-31,0.1535036359571862
PAYEMS,2011-10-01,2011-11-04,0.06084760904521147,2012-04-30,0.08500949278538172
PAYEMS,2011-11-01,2011-12-02,0.09115216965600581,2012-05-31,0.11904357111021113
PAYEMS,2011-12-01,2012-01-06,0.15174509740329967,2012-06-30,0.16884413946520738
PAYEMS,2012-01-01,2012-02-03,0.1836908765591616,2012-07-31,0.20782408187436374
PAYEMS,2012-02-01,2012-03-09,0.17121290013619728,2012-08-31,0.19533834049632048
PAYEMS,2012-03-01,2012-04-06,0.0903879966029919,2012-09-30,0.10768762595443349
PAYEMS,2012-04-01,2012-05-04,0.08651072708296681,2012-10-31,0.05116744658160144
PAYEMS,2012-05-01,2012-06-01,0.05188964917959282,2012-11-30,0.06542608026620655
PAYEMS,2012-06-01,2012-07-06,0.060128677176862766,2012-12-31,0.03382428691178774
PAYEMS,2012-07-01,2012-08-03,0.12240592981722642,2013-01-31,0.13593336102388776
PAYEMS,2012-08-01,2012-09-07,0.0720439499238168,2013-02-28,0.12327740093649453
PAYEMS,2012-09-01,2012-10-05,0.08542973923955088,2013-03-31,0.10298815800275918
PAYEMS,2012-10-01,2012-11-02,0.1279274803307473,2013-04-30,0.11927393415209764
PAYEMS,2012-11-01,2012-12-07,0.10913522637405748,2013-05-31,0.18385026224603251
PAYEMS,2012-12-01,2013-01-04,0.11572044727596875,2013-06-30,0.16272671082280254
PAYEMS,2013-01-01,2013-02-01,0.11651509891663636,2013-07-31,0.10982081020642909
PAYEMS,2013-02-01,2013-03-08,0.1749081437253608,2013-08-31,0.24591694182785062
PAYEMS,2013-03-01,2013-04-05,0.06511235810986449,2013-09-30,0.10499697804338126
PAYEMS,2013-04-01,2013-05-03,0.12186881777775938,2013-10-31,0.14695839439831104
PAYEMS,2013-05-01,2013-06-07,0.12910414594475839,2013-11-30,0.12979352854571857
PAYEMS,2013-06-01,2013-07-05,0.1435887864568386,2013-12-31,0.1266811193618267
PAYEMS,2013-07-01,2013-08-02,0.11915533526583033,2014-01-31,0.06548716428120827
PAYEMS,2013-08-01,2013-09-06,0.12422042266653222,2014-02-28,0.14794743973745028
PAYEMS,2013-09-01,2013-10-22,0.1086509768011723,2014-03-31,0.11995495813650336
PAYEMS,2013-10-01,2013-11-08,0.1495031498233601,2014-04-30,0.17309571692312176
