update,train_loss,primary,mse10,mse60,dataset,arm,seed
1000,0.6759239435195923,0.4760957085373444,0.6131253246663484,0.3390660972047701,uci,M,2026090602
1500,0.5471926331520081,0.4723464938747974,0.6090989569747114,0.3355940305473847,uci,M,2026090602
2000,0.6944257616996765,0.4699258423450642,0.6066184129575434,0.3332332814391939,uci,M,2026090602
2500,0.5716507434844971,0.4720135247927282,0.6088165855438048,0.3352104591314725,uci,M,2026090602
3000,0.4549277126789093,0.4688137509781895,0.6053704419588012,0.3322570745006166,uci,M,2026090602
3500,0.5223743319511414,0.4733209551783615,0.6099210566729686,0.3367208439202709,uci,M,2026090602
4000,0.578102171421051,0.4702040510057796,0.6068308154552341,0.3335772914665043,uci,M,2026090602
4500,0.6089318990707397,0.4710520896065326,0.6075975389501824,0.3345066258167189,uci,M,2026090602
5000,0.7175573110580444,0.4717374444955785,0.6083584428971051,0.33511645591441,uci,M,2026090602
500,0.6536118388175964,0.485638013171179,0.6223935076526104,0.3488825283963565,uci,O,2026090601
1000,0.6791009902954102,0.4795717212535043,0.6164387576376815,0.3427046801297719,uci,O,2026090601
1500,0.6039955019950867,0.48687754431147,0.6236120086665675,0.3501430798994979,uci,O,2026090601
2000,0.5624194145202637,0.473853232940948,0.6103806184372526,0.3373258521273239,uci,O,2026090601
2500,0.5169777870178223,0.4685935962556579,0.6049975836246675,0.3321896087160244,uci,O,2026090601
3000,0.5127036571502686,0.4670509381489899,0.6034616922755884,0.3306401889894451,uci,O,2026090601
3500,0.469123363494873,0.4678892049436047,0.6042554646199593,0.331522935617516,uci,O,2026090601
4000,0.6655417680740356,0.4700914850937198,0.6065283102995264,0.333654645328,uci,O,2026090601
4500,0.5416702628135681,0.4692512842193814,0.6057323002405749,0.332770248671221,uci,O,2026090601
5000,0.5567587614059448,0.4715076238106528,0.607885304411859,0.3351299578831093,uci,O,2026090601
500,0.4976638555526733,0.4782415136846574,0.6153405855857689,0.3411424369871161,uci,O,2026090602
1000,0.6758303046226501,0.4778194606455834,0.6148246600276035,0.3408142466467755,uci,O,2026090602
1500,0.5491984486579895,0.4722379010748924,0.6090061612635775,0.3354696362035268,uci,O,2026090602
2000,0.691399097442627,0.4699896754123479,0.6067315386300172,0.3332478073413742,uci,O,2026090602
2500,0.5719382762908936,0.4732544229723722,0.6100937243332997,0.3364151167012656,uci,O,2026090602
3000,0.4577606618404388,0.4685111372677121,0.6050698568347757,0.3319524175300246,uci,O,2026090602
3500,0.5200545191764832,0.4734758817171322,0.610064601966443,0.336887171231305,uci,O,2026090602
4000,0.5791246891021729,0.4697095862478397,0.6063238595809038,0.3330953080614711,uci,O,2026090602
4500,0.6059262752532959,0.4703596376697829,0.6068920536350658,0.3338272167374463,uci,O,2026090602
5000,0.7157942652702332,0.4708086469852894,0.607391237568006,0.3342260564025728,uci,O,2026090602
500,0.636820912361145,0.4906952326913523,0.6275804131919798,0.3538100425978653,uci,R,2026090601
1000,0.688689112663269,0.4742476371029254,0.6109063336791579,0.3375889308769587,uci,R,2026090601
1500,0.6057885885238647,0.4902748900060435,0.6270093349100069,0.3535404356229699,uci,R,2026090601
2000,0.5550483465194702,0.4768369903660002,0.6135995031616464,0.3400744726601751,uci,R,2026090601
2500,0.5077908039093018,0.4710746620409665,0.6077680000822052,0.3343813287961574,uci,R,2026090601
3000,0.5088843107223511,0.4712683471066654,0.6080499818079345,0.3344867171449515,uci,R,2026090601
3500,0.4356378316879272,0.4748300748661577,0.6114965455829339,0.3381636236194739,uci,R,2026090601
4000,0.632994532585144,0.4739060145411782,0.6106272720501926,0.3371847714214531,uci,R,2026090601
4500,0.5160378217697144,0.4737112004755411,0.6105121114023466,0.3369102994259684,uci,R,2026090601
5000,0.5323619842529297,0.4754080688225404,0.6120793342817831,0.3387368181507096,uci,R,2026090601
500,0.4675467014312744,0.4792833895097859,0.6166380917980471,0.3419286677514324,uci,R,2026090602
1000,0.6755119562149048,0.4790075236301082,0.6161184766289539,0.3418965656642089,uci,R,2026090602
1500,0.5274477005004883,0.4801655909563142,0.6171542703347048,0.3431769212276577,uci,R,2026090602
2000,0.6395072937011719,0.4678943680442926,0.6045637702138066,0.3312249707849578,uci,R,2026090602
2500,0.5772687196731567,0.4719532368368168,0.608791331753476,0.3351151322704235,uci,R,2026090602
3000,0.4352033138275146,0.4680195539128082,0.6048337742117526,0.3312053239641299,uci,R,2026090602
